설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
청계초등학교 버스정류장(11389),서울특별시,노원구,서울특별시 노원구 공릉로 431,,37.64503406,127.0661389,,일반쓰레기,서울특별시 노원구청,,2025-03-26
중계주공5단지514동 버스정류장(11364),서울특별시,노원구,서울특별시 노원구 중계로 230,,37.65101324,127.0750479,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원문화예술회관.불암초등학교 버스정류장(11403),서울특별시,노원구,서울특별시 노원구 중계로 167,,37.65005409,127.0807307,,일반쓰레기,서울특별시 노원구청,,2025-03-26
중계구민체육센터 버스정류장(11356),서울특별시,노원구,서울특별시 노원구 노원로 330,,37.64679053,127.0709409,,일반쓰레기,서울특별시 노원구청,,2025-03-26
중계구민체육센터 버스정류장(11357),서울특별시,노원구,서울특별시 노원구 노원로22길 1,,37.64815756,127.0706995,,일반쓰레기,서울특별시 노원구청,,2025-03-26
중계본동주민센터 버스정류장(11406),서울특별시,노원구,서울특별시 노원구 중계로12길 24,,37.6468185,127.0818703,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원우체국 버스정류장(11408),서울특별시,노원구,서울특별시 노원구 중계로 120,,37.64633482,127.0817898,,일반쓰레기,서울특별시 노원구청,,2025-03-26
서울시립북서울미술관후문 버스정류장(11385),서울특별시,노원구,서울특별시 노원구 동일로 1238,,37.64066045,127.0668656,,일반쓰레기,서울특별시 노원구청,,2025-03-26
용동초등학교 버스정류장(11383),서울특별시,노원구,서울특별시 노원구 한글비석로1길 81-11,,37.64100553,127.0690818,,일반쓰레기,서울특별시 노원구청,,2025-03-26
동천학교 버스정류장(11440),서울특별시,노원구,서울특별시 노원구 노원로18길 41,,37.64451236,127.0729257,,일반쓰레기,서울특별시 노원구청,,2025-03-26
동천학교 버스정류장(11439),서울특별시,노원구,서울특별시 노원구 노원로16길 15,,37.64344507,127.0733372,,일반쓰레기,서울특별시 노원구청,,2025-03-26
한신동성아파트.시립과학관(11422),서울특별시,노원구,서울특별시 노원구 한글비석로 151,,37.64133774,127.0756469,,일반쓰레기,서울특별시 노원구청,,2025-03-26
대진고등학교.하계우방아파트 버스정류장(11424),서울특별시,노원구,서울특별시 노원구 공릉로58길 176,,37.63769871,127.0769631,,일반쓰레기,서울특별시 노원구청,,2025-03-26
